-10 0.23882
10 0.23882
30 0.253923
50 0.269709
70 0.27861
90 0.270264
110 0.241345
130 0.203021
150 0.157968
170 0.114924
190 0.0798683
210 0.0529101
230 0.0347613
250 0.0216599
270 0.0126816
290 0.00726846
310 0.00349928
330 0.00207107
350 0.00169876
370 0.00143155
390 0.00120629
410 0.00102841
430 0.000880459
450 0.000758304
470 0.000655562
490 0.000562038
510 0.000480148
530 0.000410324
550 0.000349896
570 0.000296268
590 0.000250991
610 0.000214394
630 0.000182408
650 0.000153647
670 0.000126596
690 0.000102103
710 8.1020e-005
730 6.4975e-005
750 5.2554e-005
770 4.2228e-005
790 3.3536e-005
810 2.6465e-005
