-10 0.211685
10 0.211685
30 0.198893
50 0.173281
70 0.156662
90 0.154672
110 0.159297
130 0.16393
150 0.15569
170 0.130851
190 0.101442
210 0.072356
230 0.0470458
250 0.0284314
270 0.0149852
290 0.00770085
310 0.00372279
330 0.00218335
350 0.00178962
370 0.00150695
390 0.00127161
410 0.00108292
430 0.000931759
450 0.000802198
470 0.000694575
490 0.000596494
510 0.000511266
530 0.000436623
550 0.000371371
570 0.000313694
590 0.000265553
610 0.000225903
630 0.000191132
650 0.000160157
670 0.000131047
690 0.000104660
710 8.22449e-005
730 6.58512e-005
750 5.31433e-005
770 4.26331e-005
790 3.38066e-005
810 2.68416e-005
