0.0337212	0.434066	
0.017511	0.447802	
0.0459318	0.414835	
0.0621502	0.399725	
0.0783848	0.381868	
0.0905628	0.368132	
0.094652	0.358516	
0.118967	0.337912	
0.147323	0.315934	
0.163533	0.302198	
0.187824	0.285714	
0.204043	0.270604	
0.224285	0.256868	
0.252617	0.239011	
0.2769	0.223901	
0.305215	0.208791	
0.337562	0.193681	
0.382014	0.177198	
0.450725	0.149725	
0.483064	0.135989	
0.535548	0.125	
0.579968	0.114011	
0.640533	0.100275	
0.693017	0.0892857	
0.753558	0.0796703	
0.806017	0.0728022	
0.878655	0.0631868	
0.935147	0.0563187	
0.967413	0.0549451	
1.03196	0.0494505	
1.06827	0.0467033	
1.10861	0.043956	
1.16508	0.0398352	
1.20945	0.0370879	
1.26592	0.0343407	
